Passenger_ID,Estimated_Travel_Budget_USD,Budget_Category,Income_Level,Age,Travel_Purpose
P246,,Luxury,Medium,30,Emergency
P247,4100.0,Luxury,Medium,35,Business
P248,2300.0,Standard,Low,64,Business
P249,2500.0,Standard,Medium,19,Family
P250,6500.0,Luxury,High,73,Leisure
P251,3600.0,Luxury,Medium,32,Leisure
P252,,Luxury,Low,50,Emergency
P253,2300.0,Standard,Low,21,Business
P254,,Luxury,Medium,74,Emergency
P255,2300.0,Standard,Low,75,Business
P256,4100.0,Luxury,Medium,46,Family
P257,3500.0,Luxury,Medium,63,Business
P258,,Luxury,Medium,67,Emergency
P259,1300.0,Budget,Low,71,Family
P260,4100.0,Luxury,Medium,22,Business
P261,10500.0,Luxury,High,57,Business
P262,3500.0,Luxury,Medium,38,Business
P263,6500.0,Luxury,High,79,Business
P264,2500.0,Standard,Medium,20,Family
P265,2500.0,Standard,Medium,38,Family
P266,,Luxury,Low,65,Emergency
P267,5000.0,Luxury,High,59,Leisure
P268,2000.0,Standard,Medium,42,Leisure
P269,6500.0,Luxury,High,42,Business
P270,3100.0,Standard,Medium,21,Family
P271,2000.0,Standard,Medium,47,Leisure
P272,,Luxury,High,41,Emergency
P273,2300.0,Standard,Low,73,Business
P274,3100.0,Standard,Medium,51,Family
P275,,Luxury,High,76,Emergency
P276,,Luxury,Medium,68,Emergency
P277,1440.0,Budget,Low,29,Leisure
P278,2500.0,Standard,Medium,20,Family
P279,5500.0,Luxury,High,30,Family
P280,5500.0,Luxury,High,30,Family
P281,,Luxury,Low,61,Emergency
P282,9500.0,Luxury,High,32,Family
P283,6500.0,Luxury,High,27,Business
P284,4100.0,Luxury,Medium,47,Business
P285,,Luxury,Low,19,Emergency
P286,2600.0,Standard,Medium,31,Leisure
P287,,Luxury,Medium,52,Emergency
P288,2000.0,Standard,Low,52,Leisure
P289,1040.0,Budget,Low,68,Leisure
P290,1300.0,Budget,Low,47,Family
P291,3500.0,Luxury,Medium,74,Business
P292,,Luxury,Medium,41,Emergency
P293,3500.0,Luxury,Medium,71,Business
P294,2500.0,Standard,Medium,29,Family
P295,1940.0,Standard,Low,48,Family
P296,2500.0,Standard,Medium,36,Family
P297,2500.0,Standard,Medium,58,Family
P298,2000.0,Standard,Medium,22,Leisure
P299,,Luxury,High,48,Emergency
P300,1040.0,Budget,Low,78,Leisure
P301,3500.0,Luxury,Medium,55,Business
P302,5100.0,Luxury,Medium,33,Business
P303,2500.0,Standard,Medium,43,Family
P304,,Luxury,Low,51,Emergency
P305,,Luxury,High,60,Emergency
P306,,Luxury,Medium,58,Emergency
P307,1440.0,Budget,Low,54,Leisure
P308,3500.0,Luxury,Medium,40,Business
P309,3500.0,Luxury,Medium,30,Business
P310,2500.0,Standard,Medium,30,Family
P311,1440.0,Budget,Low,69,Leisure
P312,10500.0,Luxury,High,38,Business
P313,1040.0,Budget,Low,44,Leisure
P314,800.0,Budget,Low,79,Leisure
P315,1940.0,Standard,Low,38,Family
P316,5000.0,Luxury,High,62,Leisure
P317,2500.0,Standard,Medium,31,Family
P318,2500.0,Standard,Medium,79,Family
P319,2600.0,Standard,Medium,24,Leisure
P320,2500.0,Standard,Medium,59,Family
P321,1940.0,Standard,Low,67,Family
P322,2500.0,Standard,Medium,22,Family
P323,800.0,Budget,Low,70,Leisure
P324,2540.0,Standard,Low,26,Business
P325,5000.0,Luxury,High,36,Leisure
P326,2500.0,Standard,Medium,70,Family
P327,,Luxury,Low,70,Emergency
P328,,Luxury,High,67,Emergency
P329,2300.0,Standard,Low,37,Business
P330,9000.0,Luxury,High,30,Leisure
P331,,Luxury,Medium,26,Emergency
P332,3100.0,Standard,Medium,27,Family
P333,2940.0,Standard,Low,61,Business
P334,2000.0,Standard,Medium,46,Leisure
P335,2000.0,Standard,Medium,58,Leisure
P336,,Luxury,High,39,Emergency
P337,9500.0,Luxury,High,74,Family
P338,1300.0,Budget,Low,46,Family
P339,2500.0,Standard,Medium,40,Family
P340,2300.0,Standard,Low,68,Business
P341,,Luxury,Medium,48,Emergency
P342,,Luxury,Medium,25,Emergency
P343,,Luxury,High,49,Emergency
P344,4100.0,Luxury,Medium,54,Business
P345,3500.0,Luxury,Medium,37,Business
P346,,Luxury,Medium,76,Emergency
P347,2000.0,Standard,Medium,35,Leisure
P348,2000.0,Standard,Medium,72,Leisure
P349,800.0,Budget,Low,54,Leisure
P350,800.0,Budget,Low,55,Leisure
P351,1300.0,Budget,Low,38,Family
P352,800.0,Budget,Low,21,Leisure
P353,1300.0,Budget,Low,54,Family
P354,5000.0,Luxury,Medium,45,Leisure
P355,1940.0,Standard,Low,46,Family
P356,,Luxury,High,21,Emergency
P357,7000.0,Luxury,High,65,Family
P358,3500.0,Luxury,Medium,75,Business
P359,2000.0,Standard,Medium,67,Leisure
P360,1540.0,Standard,Low,35,Family
P361,8000.0,Luxury,High,24,Business
P362,,Luxury,Medium,38,Emergency
P363,1300.0,Budget,Low,74,Family
P364,2600.0,Standard,Medium,29,Leisure
P365,2600.0,Standard,Medium,18,Leisure
P366,2300.0,Standard,Low,72,Business
P367,2500.0,Standard,Medium,41,Family
P368,,Luxury,Medium,61,Emergency
P369,2300.0,Standard,Low,79,Business
P370,,Luxury,Medium,76,Emergency
P371,1440.0,Budget,Low,32,Leisure
P372,4100.0,Luxury,Medium,61,Family
P373,2300.0,Standard,Low,60,Business
P374,3100.0,Standard,Medium,53,Family
P375,5500.0,Luxury,High,65,Family
P376,,Luxury,Low,72,Emergency
P377,3600.0,Luxury,Medium,59,Leisure
P378,,Luxury,Medium,40,Emergency
P379,,Luxury,Medium,51,Emergency
P380,800.0,Budget,Low,79,Leisure
P381,1040.0,Budget,Low,62,Leisure
P382,8000.0,Luxury,High,18,Business
P383,3600.0,Luxury,Medium,54,Leisure
P384,5000.0,Luxury,High,73,Leisure
P385,6500.0,Luxury,Medium,20,Business
P386,,Luxury,Low,40,Emergency
P387,3500.0,Luxury,Medium,76,Business
P388,2940.0,Standard,Low,24,Business
P389,,Luxury,Low,73,Emergency
P390,5100.0,Luxury,Medium,44,Business
P391,,Luxury,Medium,57,Emergency
P392,6500.0,Luxury,Medium,79,Business
P393,,Luxury,Medium,54,Emergency
P394,,Luxury,Medium,68,Emergency
P395,3100.0,Standard,Medium,38,Family
P396,4100.0,Luxury,Medium,75,Family
P397,6500.0,Luxury,High,34,Business
P398,,Luxury,High,77,Emergency
P399,2000.0,Standard,Medium,44,Leisure
P400,9500.0,Luxury,High,42,Family
P401,5500.0,Luxury,Medium,47,Family
P402,,Luxury,Medium,27,Emergency
P403,,Luxury,Medium,38,Emergency
P404,,Luxury,Medium,42,Emergency
P405,1440.0,Budget,Low,60,Leisure
P406,,Luxury,Medium,56,Emergency
P407,3600.0,Luxury,Medium,38,Leisure
P408,,Luxury,Low,24,Emergency
P409,1040.0,Budget,Low,45,Leisure
P410,2300.0,Standard,Low,64,Business
P411,2500.0,Standard,Medium,43,Family
P412,800.0,Budget,Low,24,Leisure
P413,1300.0,Budget,Low,30,Family
P414,1300.0,Budget,Low,18,Family
P415,1440.0,Budget,Low,65,Leisure
P416,6500.0,Luxury,High,47,Business
P417,2300.0,Standard,Low,62,Business
P418,8000.0,Luxury,High,77,Business
P419,2300.0,Standard,Low,18,Business
P420,,Luxury,Medium,35,Emergency
P421,2500.0,Standard,Medium,56,Family
P422,1300.0,Budget,Low,76,Family
P423,2500.0,Standard,Medium,55,Family
P424,,Luxury,Low,67,Emergency
P425,4100.0,Luxury,Medium,56,Business
P426,,Luxury,Low,70,Emergency
P427,2600.0,Standard,Medium,72,Leisure
P428,2500.0,Standard,Medium,23,Family
P429,800.0,Budget,Low,22,Leisure
P430,6500.0,Luxury,High,25,Business
P431,1300.0,Budget,Low,38,Family
P432,1300.0,Budget,Low,21,Family
P433,6500.0,Luxury,High,78,Business
P434,,Luxury,High,31,Emergency
P435,7000.0,Luxury,High,51,Family
P436,2000.0,Standard,Medium,70,Leisure
P437,3500.0,Luxury,Medium,74,Business
P438,,Luxury,Medium,39,Emergency
P439,,Luxury,Low,61,Emergency
P440,5500.0,Luxury,High,31,Family
P441,2000.0,Standard,Medium,53,Leisure
P442,4100.0,Luxury,Medium,56,Business
P443,3500.0,Luxury,Medium,66,Business
P444,3600.0,Luxury,Medium,64,Leisure
P445,10500.0,Luxury,High,76,Business
P446,2500.0,Standard,Medium,25,Family
P447,,Luxury,Medium,32,Emergency
P448,2540.0,Standard,Low,47,Business
P449,,Luxury,Medium,20,Emergency
P450,,Luxury,Low,78,Emergency
P451,3500.0,Luxury,Medium,70,Business
P452,2500.0,Standard,Medium,68,Family
P453,2500.0,Standard,Medium,22,Family
P454,2500.0,Standard,Medium,39,Family
P455,,Luxury,Low,22,Emergency
P456,3500.0,Luxury,Medium,57,Business
P457,800.0,Budget,Low,72,Leisure
P458,,Luxury,Medium,75,Emergency
P459,2500.0,Standard,Medium,65,Family
P460,,Luxury,Medium,60,Emergency
P461,3500.0,Luxury,Medium,33,Business
P462,,Luxury,High,49,Emergency
P463,,Luxury,Medium,51,Emergency
P464,,Luxury,High,62,Emergency
P465,2500.0,Standard,Low,31,Family
P466,9500.0,Luxury,High,30,Family
P467,8000.0,Luxury,High,38,Business
P468,,Luxury,Medium,37,Emergency
P469,6500.0,Luxury,High,49,Business
P470,4100.0,Luxury,Medium,22,Business
P471,3500.0,Luxury,Medium,54,Business
P472,2000.0,Standard,Medium,34,Leisure
P473,2000.0,Standard,Medium,70,Leisure
P474,5500.0,Luxury,Medium,54,Family
P475,1440.0,Budget,Low,79,Leisure
P476,2300.0,Standard,Low,32,Business
P477,2600.0,Standard,Medium,64,Leisure
P478,2540.0,Standard,Low,60,Business
P479,12500.0,Luxury,High,34,Leisure
P480,,Luxury,Low,47,Emergency
P481,,Luxury,Medium,78,Emergency
P482,3100.0,Standard,Medium,78,Family
P483,,Luxury,Medium,53,Emergency
P484,,Luxury,Low,63,Emergency
P485,1540.0,Standard,Low,71,Family
P486,1040.0,Budget,Low,56,Leisure
P487,,Luxury,High,23,Emergency
P488,2000.0,Standard,Medium,53,Leisure
P489,800.0,Budget,Low,62,Leisure
P490,9500.0,Luxury,High,53,Family
P491,,Luxury,Low,55,Emergency
P492,,Luxury,Medium,42,Emergency
P493,,Luxury,Medium,78,Emergency
P494,5500.0,Luxury,High,53,Family
P495,2000.0,Standard,Medium,78,Leisure
P496,3100.0,Standard,Medium,29,Family
P497,2500.0,Standard,Medium,26,Family
P498,1300.0,Budget,Low,50,Family
P499,4100.0,Luxury,Medium,27,Family
P500,,Luxury,Medium,62,Emergency
P501,2940.0,Standard,Low,38,Business
P502,2300.0,Standard,Low,28,Business
P503,,Luxury,Low,34,Emergency
P504,1540.0,Standard,Low,51,Family
P505,3100.0,Standard,Medium,70,Family
P506,6500.0,Luxury,High,67,Business
P507,,Luxury,High,67,Emergency
P508,2500.0,Standard,Medium,24,Family
P509,,Luxury,Medium,21,Emergency
P510,6500.0,Luxury,Medium,52,Business
P511,4100.0,Luxury,Medium,32,Family
P512,2500.0,Standard,Medium,43,Family
P513,6500.0,Luxury,High,39,Business
P514,1300.0,Budget,Low,53,Family
P515,1940.0,Standard,Low,46,Family
P516,8000.0,Luxury,High,79,Business
P517,2500.0,Standard,Medium,21,Family
P518,2300.0,Standard,Low,22,Business
P519,2000.0,Standard,Medium,64,Leisure
P520,3500.0,Luxury,Medium,48,Business
P521,4100.0,Luxury,Medium,28,Business
P522,2300.0,Standard,Low,64,Business
P523,,Luxury,Low,43,Emergency
P524,,Luxury,Low,35,Emergency
P525,2500.0,Standard,Medium,54,Family
P526,2300.0,Standard,Low,63,Business
P527,8000.0,Luxury,High,39,Business
P528,8000.0,Luxury,High,61,Business
P529,2300.0,Standard,Low,76,Business
P530,4100.0,Luxury,Medium,54,Business
P531,,Luxury,Low,71,Emergency
P532,,Luxury,Low,40,Emergency
P533,4100.0,Luxury,Medium,72,Business
P534,2000.0,Standard,Medium,59,Leisure
P535,2000.0,Standard,Medium,29,Leisure
P536,,Luxury,Low,57,Emergency
P537,800.0,Budget,Low,44,Leisure
P538,9000.0,Luxury,High,75,Leisure
P539,5000.0,Luxury,High,45,Leisure
P540,1540.0,Standard,Low,35,Family
P541,5000.0,Luxury,High,75,Leisure
P542,2500.0,Standard,Medium,41,Family
P543,3500.0,Luxury,Medium,67,Business
P544,2000.0,Standard,Medium,75,Leisure
P545,1040.0,Budget,Low,66,Leisure
P546,2000.0,Standard,Medium,23,Leisure
P547,4100.0,Luxury,Medium,19,Business
P548,1300.0,Budget,Low,75,Family
P549,5500.0,Luxury,High,64,Family
P550,5500.0,Luxury,High,74,Family
P551,,Luxury,Medium,24,Emergency
P552,2500.0,Standard,Medium,58,Family
P553,2000.0,Standard,Medium,66,Leisure
P554,7000.0,Luxury,High,51,Family
P555,5000.0,Luxury,High,68,Leisure
P556,2300.0,Standard,Low,56,Business
P557,2500.0,Standard,Medium,45,Family
P558,,Luxury,Low,70,Emergency
P559,4100.0,Luxury,Medium,25,Family
P560,,Luxury,High,35,Emergency
P561,5500.0,Luxury,High,50,Family
P562,7000.0,Luxury,High,68,Family
P563,800.0,Budget,Low,72,Leisure
P564,3100.0,Standard,Medium,49,Family
P565,6500.0,Luxury,Medium,32,Business
P566,,Luxury,Medium,54,Emergency
P567,3500.0,Luxury,Medium,28,Business
P568,800.0,Budget,Low,19,Leisure
P569,3500.0,Luxury,Medium,72,Business
P570,3500.0,Luxury,Medium,65,Business
P571,,Luxury,Medium,42,Emergency
P572,3100.0,Standard,Medium,29,Family
P573,,Luxury,Medium,62,Emergency
P574,,Luxury,Medium,55,Emergency
P575,2300.0,Standard,Low,72,Business
P576,2540.0,Standard,Low,70,Business
P577,3500.0,Luxury,Medium,52,Business
P578,3100.0,Standard,Medium,36,Family
P579,,Luxury,Medium,34,Emergency
P580,2600.0,Standard,Medium,79,Leisure
P581,5500.0,Luxury,High,50,Family
P582,,Luxury,Low,77,Emergency
P583,2540.0,Standard,Low,19,Business
P584,2500.0,Standard,Medium,56,Family
P585,1300.0,Budget,Low,72,Family
P586,5100.0,Luxury,Medium,67,Business
P587,,Luxury,Low,46,Emergency
P588,6500.0,Luxury,High,68,Business
P589,,Luxury,Low,76,Emergency
P590,1040.0,Budget,Low,25,Leisure
P591,2500.0,Standard,Medium,29,Family
P592,8000.0,Luxury,High,67,Business
P593,1300.0,Budget,Low,76,Family
P594,7000.0,Luxury,High,40,Family
P595,1300.0,Budget,Low,54,Family
P596,5000.0,Luxury,Medium,65,Leisure
P597,2500.0,Standard,Medium,29,Family
P598,5000.0,Luxury,Medium,67,Leisure
P599,,Luxury,Medium,38,Emergency
P600,2000.0,Standard,Medium,71,Leisure
P601,,Luxury,Medium,78,Emergency
P602,,Luxury,High,52,Emergency
P603,5000.0,Luxury,High,50,Leisure
P604,2000.0,Standard,Medium,52,Leisure
P605,,Luxury,Low,71,Emergency
P606,4100.0,Luxury,Medium,20,Business
P607,5500.0,Luxury,Medium,75,Family
P608,1040.0,Budget,Low,69,Leisure
P609,5500.0,Luxury,High,68,Family
P610,2300.0,Standard,Low,63,Business
P611,3600.0,Luxury,Medium,50,Leisure
P612,3100.0,Standard,Medium,22,Family
P613,,Luxury,Low,51,Emergency
P614,1300.0,Budget,Low,45,Family
P615,2500.0,Standard,Medium,25,Family
P616,3500.0,Luxury,Medium,48,Business
P617,2600.0,Standard,Medium,18,Leisure
P618,3500.0,Luxury,Medium,68,Business
P619,,Luxury,Medium,73,Emergency
P620,2600.0,Standard,Medium,19,Leisure
P621,9500.0,Luxury,High,77,Family
P622,1540.0,Standard,Low,42,Family
P623,1040.0,Budget,Low,72,Leisure
P624,2500.0,Standard,Medium,63,Family
P625,,Luxury,Low,27,Emergency
P626,2000.0,Standard,Medium,28,Leisure
P627,3500.0,Luxury,Medium,27,Business
P628,,Luxury,Medium,75,Emergency
P629,1300.0,Budget,Low,48,Family
P630,1300.0,Budget,Low,66,Family
P631,5500.0,Luxury,High,58,Family
P632,1940.0,Standard,Low,39,Family
P633,2000.0,Standard,Medium,42,Leisure
P634,2000.0,Standard,Medium,37,Leisure
P635,1300.0,Budget,Low,54,Family
P636,2500.0,Standard,Medium,39,Family
P637,,Luxury,Low,40,Emergency
P638,3500.0,Luxury,Medium,76,Business
P639,3500.0,Luxury,Medium,43,Business
P640,2000.0,Standard,Medium,24,Leisure
P641,1300.0,Budget,Low,23,Family
P642,4100.0,Luxury,Medium,74,Business
P643,4100.0,Luxury,Medium,68,Business
P644,8000.0,Luxury,High,23,Business
P645,,Luxury,High,76,Emergency
P646,800.0,Budget,Low,77,Leisure
P647,3600.0,Luxury,Medium,51,Leisure
P648,1540.0,Standard,Low,18,Family
P649,,Luxury,Medium,79,Emergency
P650,2000.0,Standard,Medium,39,Leisure
P651,2500.0,Standard,Medium,70,Family
P652,3500.0,Luxury,Medium,55,Business
P653,2600.0,Standard,Medium,77,Leisure
P654,,Luxury,Medium,66,Emergency
P655,2000.0,Standard,Medium,21,Leisure
P656,2500.0,Standard,Medium,65,Family
P657,2000.0,Standard,Medium,26,Leisure
P658,3600.0,Luxury,Medium,35,Leisure
P659,5000.0,Luxury,High,63,Leisure
P660,3600.0,Luxury,Medium,71,Leisure
P661,2600.0,Standard,Medium,59,Leisure
P662,5100.0,Luxury,Medium,64,Business
P663,1300.0,Budget,Low,73,Family
P664,,Luxury,Medium,77,Emergency
P665,4100.0,Luxury,Medium,63,Family
P666,3500.0,Luxury,Medium,55,Business
